,Question Index,Questions,Options,Question Source,Answers,Answer Source
10,2000A Q11,Which of the following chemicals is NOT an antioxidant?,"{'A': 'vitamin E', 'B': 'ethoxyquin', 'C': 'riboflavin', 'D': 'butylated hydroxytoluene', 'E': 'propyl gallate'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('C',)]","ABT #17.pdf, Document.pdf"
11,2000A Q12,Intranuclear inclusions in the renal tubular epithelial cells is characteristic of,"{'A': 'cobalt', 'B': 'mercury', 'C': 'antimony', 'D': 'lead', 'E': 'cadmium'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('D',)]","ABT #17.pdf, Document.pdf"
12,2000A Q13,"In some species, accumulation of neurofibrillary tangles in the brain is associated with exposure to","{'A': 'lead', 'B': 'manganese', 'C': 'methyl mercury', 'D': 'aluminum', 'E': 'triethyltin'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('D',)]","ABT #17.pdf, Document.pdf"
13,2000A Q14,"In the treatment of cyanide (CN) poisoning, nitrite acts by","{'A': 'displacing CN from cytochrome oxidase', 'B': 'oxidizing the iron in cytochome oxidase from Fe 2+ to Fe 3+', 'C': 'oxidizing CN to thiocyanate', 'D': 'oxidizing the iron in hemoglobin from Fe2+ to Fe', 'E': 'displacing the CN from cytochome P450'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('D',)]","ABT #17.pdf, Document.pdf"
14,2000A Q15,Which of the following classes of antibiotics is most commonly associated with ototoxicity and nephrotoxicity?,"{'A': 'penicillins', 'B': 'fluoroquinolines', 'C': 'aminoglycosides', 'D': 'tetracyclines', 'E': 'macrolides'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('C',)]","ABT #17.pdf, Document.pdf"
15,2000A Q16,Elevated carboxyhemoglobin level occurs following exposure to,"{'A': 'bis(chloromethyl)ether', 'B': 'methylene chloride', 'C': 'methyl ethyl ketone', 'D': 'methylene blue', 'E': 'methyl chloride'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B',)]","ABT #17.pdf, Document.pdf"
16,2000A Q17,Chronic absorption of which of the following results in hyperostosis?,"{'A': 'cyanide', 'B': 'sulfide', 'C': 'fluoride', 'D': 'borate', 'E': 'oxalate'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('C',)]","ABT #17.pdf, Document.pdf"
17,2000A Q18,The treatment of poisoning by organophosphates can be very difficult. One reason for this is the difficulty of reactivating the enzyme acetylcholinesterase because the organophosphates attach to the enzyme through,"{'A': ""Van der Waals' bonds"", 'B': 'ionic bonds', 'C': 'hydrogen bonds', 'D': 'covalent bonds', 'E': 'reinforced ionic bonds'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('D',)]","ABT #17.pdf, Document.pdf"
18,2000A Q19,The toxic glycoprotein in castor beans is,"{'A': 'strychnine', 'B': 'alizarin', 'C': 'brucine', 'D': 'muscarine', 'E': 'ricin'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('E',)]","ABT #17.pdf, Document.pdf"
19,2000A Q20,Which of the following is a nonintentional food additive?,"{'A': 'monosodium glutamate', 'B': 'diethyl phthalate', 'C': 'sodium benzoate', 'D': 'propylene glycol', 'E': 'sorbic acid'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B',)]","ABT #17.pdf, Document.pdf"
20,2000A Q21,Loxoscelism can result from,"{'A': 'eating improperly prepared salmon', 'B': 'a spider bite', 'C': 'eating cinchona bark', 'D': 'any teratogenic insult with concomitant torticollis', 'E': 'eating mushrooms'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B',)]","ABT #17.pdf, Document.pdf"
21,2000A Q22,Which of the following is NOT true for carbon monoxide poisoning,"{'A': 'signs and symptoms will not appear in a normal person exposed to 30 ppm regardless of the exposure time', 'B': 'an individual with coronary vessel disease is more prone to develop angina than a normal individual with similar concentrations of carboxyhemoglobin', 'C': 'in the absence of coronary vessel disease carboxyhemoglobin at concentrations of less than 10% saturation will result in an increased coronary blood flow', 'D': 'the relapses occurring in persons recovering from acute CO poisoning are most likely due to CO storage in myoglobin', 'E': '20% carboxyhemglobin is associated with mild headache'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('D',)]","ABT #17.pdf, Document.pdf"
22,2000A Q23,The rate of oxidation of ethanol in the body,"{'A': 'is proportional to blood ethanol concentration', 'B': 'can be accelerated significantly by the administration of oxygen', 'C': 'can be accelerated significantly by vigorous physical exercise', 'D': 'is equivalent to 10 ml ethanol per hour', 'E': 'all of the above'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('D',)]","ABT #17.pdf, Document.pdf"
23,2000A Q24,Which of the following is the first symptom of iron intoxication in humans?,"{'A': 'bloody diarrhea', 'B': 'convulsions', 'C': 'acidosis and fever', 'D': 'hepatic necrosis', 'E': 'gastrointestinal obstruction'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('A',)]","ABT #17.pdf, Document.pdf"
24,2000A Q25,Xylene toxicity is characterized by,"{'A': 'a relatively low acute systemic toxicity compared to other organic solvents', 'B': 'a high potential for chronic toxicity due to its effect on the bone marrow', 'C': 'bronchopneumonia subsequent to inhalation of vapor', 'D': 'an odor threshold exceeding its threshold limit value', 'E': 'all of the above'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('A',)]","ABT #17.pdf, Document.pdf"
25,2000A Q26,Severe necrosis may follow the bite of a,"{'A': 'tarantula', 'B': 'brown recluse spider (Loxosceles reclusa)', 'C': 'black widow spider (Latrodectus sp.)', 'D': 'Centruroides sp.', 'E': 'tick'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B',)]","ABT #17.pdf, Document.pdf"
26,2000A Q27,Which of the following is the major neurotoxic metabolite of n-hexane?,"{'A': '2-hexanone', 'B': '2,5-hexanedione', 'C': '2-hexanol', 'D': '5-hydroxy-2-hexanone', 'E': '2,5-hexanediol'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B',)]","ABT #17.pdf, Document.pdf"
27,2000A Q28,Which of the following nickel compounds is most toxic?,"{'A': 'nickel oxide', 'B': 'nickel carbonyl', 'C': 'metallic nickel', 'D': 'nickel fluoride', 'E': 'nickel monosulphide'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B',)]","ABT #17.pdf, Document.pdf"
28,2000A Q29,Mydriasis and cycloplegia are caused by the ingestion of plant alkaloids which contain,"{'A': 'atropine', 'B': 'digitalis', 'C': 'beta aminopropionitrile', 'D': 'aconitine', 'E': 'pyrrolizidine alkaloids'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('A',)]","ABT #17.pdf, Document.pdf"
29,2000A Q30,A possible mechanism for excretion of amphetamine in the urine is,"{'A': 'passive diffusion', 'B': 'ionization of a weak organic acid', 'C': 'enhancement by alkalization of the urine', 'D': 'ionization of a weak organic base', 'E': 'none of the above'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('D',)]","ABT #17.pdf, Document.pdf"
30,2000A Q31,The biological activity of actinomycin D is due to its,"{'A': 'capacity to intercalate with DNA', 'B': 'damage to plasma membranes', 'C': 'incorporation into RNA', 'D': 'impairment of cellular transport', 'E': 'ability to cause mitochondrial dysfunction'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('A',)]","ABT #17.pdf, Document.pdf"
31,2000A Q32,Which of the following is true regarding food additives?,"{'A': 'for regulatory purposes', 'B': 'the Delaney amendment of the Food', 'C': 'the FDA normally applies a 100-fold safety factor to the NOAEL obtained in appropriate animal toxicity tests', 'D': 'food additives are regulated by the Department of Agriculture under the Pure Food Act', 'E': 'even if there is no detectable migration of a packaging component into the food'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('C',)]","ABT #17.pdf, Document.pdf"
32,2000A Q33,Characteristics that distinguish pyrethroid type II compounds from type I compounds are,"{'A': 'mammalian toxicity is manifested by paresthesias', 'B': 'presence of a cyano group in the carboxylic acid moiety of the molecule', 'C': 'mammalian toxicity is manifested by writhing movement', 'D': 'difference in their relative potential to depolarize persistently and block conduction in nerves'}",Document.pdf,"[('A',), ('E',)]","ABT #17.pdf, Document.pdf"
33,2000A Q34,Trivalent chromium,"{'A': 'is an essential trace nutrient and cofactor for insulin action', 'B': 'is less toxic than hexavalent chromium', 'C': 'has adverse effects on renal tubules and glomerular apparatus at high concentrations', 'D': 'has been implicated along with hexavalent chromium in occupationally induced cancers of the respiratory system'}",Document.pdf,"[('E',)]","ABT #17.pdf, Document.pdf"
34,2000A Q36,Scombroid poisoning,"{'1': 'is an anaphylactoid reaction', '2': 'is effectively treated with antihistamines', '3': 'is commonly caused by ingesting spoiled tuna', '4': 'is an allergy to fish'}",Document.pdf,"[('1', '2', '3')]","ABT #17.pdf, Document.pdf"
35,2000A Q37,"2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD)","{'1': 'has been found as a contaminant in 2,4,5-T', '2': 'is extremely toxic to some animal species', '3': 'is teratogenic and carcinogenic', '4': 'induces microsomal enzymes'}",Document.pdf,"[('1', '2', '3', '4')]","ABT #17.pdf, Document.pdf"
36,2000A Q38,Which of the following toxins block(s) the inward flow of sodium through sodium channels along the axon?,"{'1': 'botulinum toxin', '2': 'tetrodotoxin', '3': 'batrachotoxin', '4': 'saxitoxin'}",Document.pdf,"[('2', '4')]","ABT #17.pdf, Document.pdf"
37,2000A Q39,Treatment of methanol poisoning may involve the use of the intravenous infusion of,"{'1': 'isoproterenol', '2': 'sodium bicarbonate', '3': 'disulfiram', '4': 'ethanol'}",Document.pdf,"[('2', '4')]","ABT #17.pdf, Document.pdf"
38,2000A Q40,Which of the following substances exerts its principal toxic effect on cholinergic transmission?,"{'1': 'botulinum toxin', '2': 'nicotine', '3': 'atropine', '4': 'ciguatoxin'}",Document.pdf,"[('1', '2', '3'), ('1', '2', '3', '4')]","ABT #17.pdf, Document.pdf"
39,2000A Q41,Which of the following chemicals is/are formed from photochemical processes during episodes of air pollution?,"{'1': 'ozone', '2': 'carbon monoxide', '3': 'peroxyacetyl nitrate', '4': 'sulfur dioxide'}",Document.pdf,"[('1', '3')]","ABT #17.pdf, Document.pdf"
40,2000A Q42,Isopropanol poisoning should be treated by,"{'1': 'inducing vomiting', '2': 'administration of sodium bicarbonate', '3': 'administration of ethanol', '4': 'hemodialysis'}",Document.pdf,"[('2', '4'), ('4',)]","ABT #17.pdf, Document.pdf"
41,2000A Q43,Which of the following metals has/have carcinogenic activity?,"{'1': 'lead', '2': 'manganese', '3': 'nickel', '4': 'molybdenum'}",Document.pdf,"[('1', '3')]","ABT #17.pdf, Document.pdf"
42,2000A Q44,Aspirin may cause which of the following physiological and pathological responses?,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '3')]","ABT #17.pdf, Document.pdf"
43,2000A Q45,The pulmonary pathology of chronic exposure to SO2 consists of,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('2', '4')]","ABT #17.pdf, Document.pdf"
44,2000A Q46,Acute intravascular hemolysis may follow exposure to,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '2', '3', '4')]","ABT #17.pdf, Document.pdf"
45,2000A Q47,A sponsor of an Investigational New Drug (IND) is required to report adverse drug experience to the Food and Drug Administration within 3 working days when,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '2', '3', '4'), ('4',)]","ABT #17.pdf, Document.pdf"
46,2000A Q48,Alpha particles,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '2', '3', '4')]","ABT #17.pdf, Document.pdf"
47,2000A Q49,Peripheral neuropathy produced by hydrocarbon solvents has which of the following characteristics?,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '2', '3', '4')]","ABT #17.pdf, Document.pdf"
48,2000A Q50,"Fumonisins are secondary metabolites of Fusarium moniliforme, F. proliferatum and other Fusaria that commonly contaminate corn. These mycotoxins are reported to be associated with",{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '2', '3', '4')]","ABT #17.pdf, Document.pdf"
49,2000B Q1,Which of the following always lead(s) to a nonfunctional gene product?,"{'A': 'frame shift mutation', 'B': 'missense base pair substitution', 'C': 'nonsense base pair substitution', 'D': 'transition base pair substitution', 'E': 'A and C'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('E',)]","ABT #17.pdf, Document.pdf"
50,2000B Q2,"Carcinogenicity of 1,2 dichloroethane is thought to be associated with the hepatic biotransformation to","{'A': 'a glutathione conjugate', 'B': 'chloride ion and an epoxide', 'C': 'carbon monoxide', 'D': 'a glucuronide conjugate', 'E': 'none of the above'}","ABT #17.pdf, Document.pdf","[('A',)]","ABT #17.pdf, Document.pdf"
51,2000B Q3,Subacute myelo-opticoneuropathy was first recognized in Japan and attributed to the use of which of the following?,"{'A': 'quinine', 'B': 'ethambutol', 'C': 'iodochlorhydroxyquin - lit.', 'D': 'atoxyl', 'E': 'chlorpromazine'}","ABT #17.pdf, Document.pdf","[('C',)]","ABT #17.pdf, Document.pdf"
52,2000B Q4,"Human spina bifida, a neural tube defect, is clinically associated with which of the following drugs?","{'A': 'thalidomide', 'B': 'phenytoin', 'C': 'valproic acid', 'D': 'cocaine', 'E': 'retinoic acid'}","ABT #17.pdf, Document.pdf","[('C',)]","ABT #17.pdf, Document.pdf"
53,2000B Q5,Which of the following halogenated hydrocarbon anesthetics has/have been shown to produce renal failure?,"{'A': 'methoxyflurane', 'B': 'halothane', 'C': 'enflurane', 'D': 'isoflurane', 'E': 'A and B'}","ABT #17.pdf, Document.pdf","[('A',)]","ABT #17.pdf, Document.pdf"
54,2000B Q6,Transgenic mice containing shuttle vectors carrying bacterial genes are being proposed as possible in vivo mutagenicity models. Which of the following is NOT a potential advantage of this model?,"{'A': 'ability to assess exposure', 'B': 'ability to compare mutagenicity changes with the historical tumor incidence in transgenic mice', 'C': 'ability to estimate DNA adduct levels at target tissue doses', 'D': 'ability to evaluate the role of absorption', 'E': 'ability to estimate dose at target tissue'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B',), ('E',)]","ABT #17.pdf, Document.pdf"
55,2000B Q7,Which of the following chemicals is NOT an established human teratogen?,"{'A': 'aminopterin', 'B': 'cocaine', 'C': 'isotretinoin', 'D': 'methyl mercury', 'E': 'benzene'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('E',)]","ABT #17.pdf, Document.pdf"
56,2000B Q8,"Which of the following, found in semen, is an indicator of seminal vesicle function?","{'A': 'citric acid', 'B': 'androgen-binding protein', 'C': 'zinc', 'D': 'fructose', 'E': 'acid phosphatase'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('D',)]","ABT #17.pdf, Document.pdf"
57,2000B Q9,Isoniazid neurotoxicity is related to,"{'A': 'significant reduction of neural L-glutamate decarboxylase activity', 'B': 'depletion of pyridoxine and pyridoxal from liver and peripheral nervous tissues', 'C': 'enhanced kidney excretion of vitamin B6', 'D': 'reduction of inhibitory transmitters in the brain', 'E': 'all of the above'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B.E',), ('E',)]","ABT #17.pdf, Document.pdf"
58,2000B Q10,Allergic contact dermatitis resulting from exposure to chromium compounds is an example of,"{'A': 'anergy', 'B': 'B-cell mediated allergy', 'C': 'T-cell mediated allergy', 'D': 'type I reactivity', 'E': ""Goodpasture's disease""}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('?',), ('C',)]","ABT #17.pdf, Document.pdf"
59,2000B Q11,For a chemical to be considered a rodent carcinogen it must,"{'A': 'exhibit both initiating and promoting activity in an initiation/promotion model', 'B': 'increase the incidence of tumors', 'C': 'act through a genotoxic mechanism', 'D': 'exhibit a short latency period', 'E': 'all of the above'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B',)]","ABT #17.pdf, Document.pdf"
60,2000B Q12,Potential ocular photosensitizer(s) that induce UV-cataractogenesis include,"{'A': 'dinitrophenol', 'B': 'steroids', 'C': 'naphthalene', 'D': 'phenothiazines', 'E': 'all of the above'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('E',)]","ABT #17.pdf, Document.pdf"
61,2000B Q13,True cross-sensitization reactions of the skin,"{'A': 'may occur when two or more antigens share similar groups', 'B': 'occur only when exposure to two or more agents and sunlight occur simultaneously', 'C': 'is seen only in allergic contact dermatitis', 'D': 'occur only when both agents are in the same product', 'E': 'may occur when the same antigen is present in more than one product'}","Document.pdf, ABT2000#17.pdf","[('A',)]","ABT #17.pdf, Document.pdf"
62,2000B Q14,Which of the following mycotoxins is implicated in Balkan nephropathy and has a potential to induce DNA adduct formation making it a possible renal carcinogen?,"{'A': 'aflatoxin B1', 'B': 'aflatoxin G1', 'C': 'citrinin', 'D': 'rubratoxin B', 'E': 'ochratoxin A'}","Document.pdf, ABT2000#17.pdf","[('D',)]","ABT #17.pdf, Document.pdf"
63,2000B Q15,Which of the following does not reflect a correct pairing of nephrotoxic agent with presumed site of action in the nephron?,"{'A': 'inorganic mercury - pars recta', 'B': 'amphotericin B - proximal and distal convoluted tubule', 'C': 'aspirin plus phenacetin - collecting duct', 'D': 'puromycin aminonucleoside - glomerulus', 'E': 'fluoride - loop of Henle'}","Document.pdf, ABT2000#17.pdf","[('C',)]","ABT #17.pdf, Document.pdf"
64,2000B Q16,Which of the following causes a marked elevation in blood glucose when applied to abraded skin of dogs?,"{'A': 'sodium lauryl sulfate', 'B': 'cyclic nucleotides', 'C': 'toluene', 'D': 'benzene', 'E': 'polycyclic aromatic hydrocarbons'}","Document.pdf, ABT2000#17.pdf","[('?',), ('B',)]","ABT #17.pdf, Document.pdf"
65,2000B Q17,Which of the following is NOT characteristic of vitamin A toxicity?,"{'A': 'improper bone growth', 'B': 'night blindness', 'C': 'dermatitis', 'D': 'improper in utero development of offspring', 'E': 'hepatomegaly'}","Document.pdf, ABT2000#17.pdf","[('B',)]","ABT #17.pdf, Document.pdf"
66,2000B Q18,"Maximum percent deposition of inhaled particles will occur in this region of the respiratory tract, when an aerosol having an MMAD of 3 um is inhaled during tidal breathing","{'A': 'nasal', 'B': 'oral pharyngeal', 'C': 'peripheral lung', 'D': 'tracheobronchial', 'E': 'alveolar'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('D',)]","ABT #17.pdf, Document.pdf"
67,2000B Q19,Which of the following is most likely to cause both neuropathy and alopecia?,"{'A': 'lead', 'B': 'mercury', 'C': 'selenium', 'D': 'beryllium', 'E': 'thallium'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('E',)]","ABT #17.pdf, Document.pdf"
68,2000B Q20,"Which of the following, when oxidized, provides reducing equivalents for ATP synthesis?","{'A': 'carbon monoxide', 'B': 'cyanide', 'C': 'ethanol', 'D': 'lead', 'E': 'none of the above'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('C',)]","ABT #17.pdf, Document.pdf"
69,2000B Q21,"Calculate the dynamic concentration of mercury vapor in an air sample produced by mixing an air stream saturated with mercury vapor (18.79 mg/m2) with an air stream containing no mercury vapor. If the flow rates of the saturated and clean air streams are 0.04 L/min and 36.5 L/min, respectively, what is the resultant concentration of mercury vapor in air in mg/m","{'A': '0.002 mg/m', 'B': '0.02 mg/m', 'C': '0.2 mg/m1', 'D': '2 mg/m', 'E': 'none of the above'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B',)]","ABT #17.pdf, Document.pdf"
70,2000B Q22,The neurologic syndrome that may occur as a result of alcoholic liver cirrhosis consists of,"{'A': 'ataxia', 'B': 'dementia', 'C': 'psychosis', 'D': 'muscle weakness', 'E': 'C and D'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('A',), ('D',)]","ABT #17.pdf, Document.pdf"
71,2000B Q23,Which statement concerning dermal sensitization is correct?,"{'A': 'is a reaction confined to the skin', 'B': 'a hapten penetrates the dermis and forms a union with proteins', 'C': 'lymphocytes do not play a role in sensitization', 'D': 'skin permeability is the same for rabbit', 'E': 'all are correct'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B',)]","ABT #17.pdf, Document.pdf"
72,2000B Q24,"An infant shows signs that would normally be associated with an extra chromosome; however, the chromosome number is normal. Neither parent shows these signs. However, one of the mother's chromosomes is abnormally long and another is very short. One explanation for the signs is","{'A': 'the effect is recessive and skips a generation', 'B': 'there was a point mutation in utero resulting in aneuploidy', 'C': 'there was a translocation in the maternal genome', 'D': 'the infant was exposed to ionizing radiation in utero', 'E': 'none of the above'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('C',)]","ABT #17.pdf, Document.pdf"
73,2000B Q25,"After chemical exposure, appearance of sister chromatid exchanges in mammalian cells indicates","{'A': 'point mutations', 'B': 'histone annealing', 'C': 'DNA intercalation', 'D': 'DNA double strand breaks', 'E': 'DNA deletions'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('D',)]","ABT #17.pdf, Document.pdf"
74,2000B Q26,The progenitor cells for alveolar repair are,"{'A': 'type I cells', 'B': 'type II cells', 'C': 'basal cells', 'D': 'Clara cells', 'E': 'all of the above'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B',)]","ABT #17.pdf, Document.pdf"
75,2000B Q27,"In an Ames assay, the number of revertants increases with increasing dose until a certain concentration and then frequently declines because of","{'A': 'solubility limits', 'B': 'cytotoxicity', 'C': 'depletion of nutrients', 'D': 'saturation of critical metabolic pathways', 'E': 'oxygen depletion'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B',)]","ABT #17.pdf, Document.pdf"
76,2000B Q28,Which of the following agents is NOT associated with the induction of an allergic response?,"{'A': 'formaldehyde', 'B': 'aspirin', 'C': 'chloroform', 'D': 'nickel', 'E': 'toluene diisocyanate'}","ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('B',), ('C',)]","ABT #17.pdf, Document.pdf"
77,2000B Q29,Compounds that can cause occupational contact dermatitis are,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '3')]","ABT #17.pdf, Document.pdf"
78,2000B Q30,Which of the following is/are correct for interferon?,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '2', '3')]","ABT #17.pdf, Document.pdf"
79,2000B Q31,Methemoglobinemia can occur upon exposure to,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '2', '3')]","ABT #17.pdf, Document.pdf"
80,2000B Q32,Bromobenzene hepatotoxicity,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '3')]","ABT #17.pdf, Document.pdf"
81,2000B Q33,Which of the following cause interstitial pulmonary fibrosis?,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '2', '3'), ('1', '3')]","ABT #17.pdf, Document.pdf"
82,2000B Q34,Acute treatment of rats with a compound which selectively destroys spermatogonial cells,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('2', '4')]","ABT #17.pdf, Document.pdf"
83,2000B Q35,Which of the following require(s) metabolism or bioactivation to be teratogenic?,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '3'), ('A?',)]","ABT #17.pdf, Document.pdf"
84,2000B Q36,Which of the following statements is/are correct?,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '3')]","ABT #17.pdf, Document.pdf"
85,2000B Q37,Which of the following can be classified as an autoimmune disease?,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '2', '3'), ('1', '2', '3', '4')]","ABT #17.pdf, Document.pdf"
86,2000B Q38,Haber's rule provides a simple and practical means of assessing acute inhalation toxicity by combining which of the following measures?,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('2', '4')]","ABT #17.pdf, Document.pdf"
87,2000B Q39,Macrophages,{},"ABT #17.pdf, Document.pdf, ABT2000#17.pdf","[('1', '2', '3')]","ABT #17.pdf, Document.pdf"
